Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Firefox 56.0,,2017-11-08 14:29:49,2017-11-08 14:29:58,9.228s,FAILED
,,,,,,
Test Cases/LoginAcme,Firefox 56.0,,2017-11-08 14:29:49,2017-11-08 14:29:57,8.603s,PASSED
openBrowser,Firefox 56.0,,2017-11-08 14:29:49,2017-11-08 14:29:55,5.495s,PASSED
navigateToUrl,Firefox 56.0,,2017-11-08 14:29:55,2017-11-08 14:29:55,0.589s,PASSED
click,Firefox 56.0,,2017-11-08 14:29:55,2017-11-08 14:29:56,0.389s,PASSED
setText,Firefox 56.0,,2017-11-08 14:29:56,2017-11-08 14:29:56,0.090s,PASSED
setText,Firefox 56.0,,2017-11-08 14:29:56,2017-11-08 14:29:56,0.075s,PASSED
click,Firefox 56.0,,2017-11-08 14:29:56,2017-11-08 14:29:57,0.496s,PASSED
closeBrowser,Firefox 56.0,,2017-11-08 14:29:57,2017-11-08 14:29:57,0.976s,PASSED
,,,,,,
Test Cases/Logout,Firefox 56.0,,2017-11-08 14:29:58,2017-11-08 14:29:58,0.231s,FAILED
click,Firefox 56.0,,2017-11-08 14:29:58,2017-11-08 14:29:58,0.012s,FAILED
